rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
19761,Princess Nightmare,princess-nightmare,Adventure,unrated,playstation,Karin Entertainment,Karin Entertainment,0.01,2008
19763,Cafe Cuillere,cafe-cuillere,Visual Novel,unrated,playstation,Takuyo,Takuyo,0.01,2018
19765,Tactical Guild,tactical-guild,Role-Playing,unrated,other,Success,Ninja Studio,0.01,2008
19770,Sekai wa Atashi de Mawatteru: Hikari to Yami no Princess,sekai-wa-atashi-de-mawatteru-hikari-to-yami-no-princess,Role-Playing,unrated,playstation,Global A Entertainment,Global A Entertainment,0.01,2009
19771,Steam Prison: Nanatsu no Bitoku,steam-prison-nanatsu-no-bitoku,Adventure,unrated,playstation,Dramatic Create,Dramatic Create,0.01,2017
19776,Under the Moon: Crescent,under-the-moon-crescent,Adventure,unrated,playstation,Dimple Entertainment,Dimple Entertainment,0.01,2009
19778,Hyaku Monogatari: Kaidan Romance,hyaku-monogatari-kaidan-romance,Misc,unrated,playstation,Quinrose,Unknown,0.01,2013
19779,Slotter Up Mania 11: 2027 vs 2027 II,slotter-up-mania-11-2027-vs-2027-ii,Misc,unrated,playstation,Dorart,Dorart,0.01,2009
19782,Kamidanomi Shisugite Ore no Mirai ga Yabai.,kamidanomi-shisugite-ore-no-mirai-ga-yabai,Adventure,unrated,playstation,Entergram,Entergram,0.01,2017
19783,Flowers: Natsu-hen,flowers-natsu-hen,Action,unrated,playstation,Prototype,Unknown,0.01,2015
19784,Momotarou Densetsu 16 (PS2 the Best sales),momotarou-densetsu-16-ps2-the-best-sales,Misc,unrated,playstation,Hudson Soft,Hudson Soft,0.01,2009
19785,Infinite Stratos 2: Love and Purge,infinite-stratos-2-love-and-purge,Action,unrated,playstation,5pb,Unknown,0.01,2015
19786,Koshotengai no Hashihime Noma,koshotengai-no-hashihime-noma,Visual Novel,unrated,playstation,Dramatic Create,ADELTA,0.01,2018
19788,KLAP!! Kind Love And Punish: Fun Party,klap-kind-love-and-punish-fun-party,Adventure,unrated,playstation,Idea Factory,Unknown,0.01,2017
19790,Memories Off 6: Next Relation,memories-off-6-next-relation,Adventure,unrated,xbox,5pb,5pb. Games,0.01,2009
19792,Akai Ito Destiny DS,akai-ito-destiny-ds,Adventure,unrated,other,Alchemist,Alchemist,0.01,2009
