rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,publisher_ranked
350,FIFA 14,fifa-14,Sports,E,xbox,ea sports,EA Canada,4.15,2013,FALSE
351,Madden NFL 2003,madden-nfl-2003,Sports,E,playstation,ea sports,EA Tiburon,4.14,2002,FALSE
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,playstation,ubisoft,Ubisoft Montreal,4.14,2014,TRUE
353,Destiny 2,destiny-2,Shooter,T,playstation,activision,Bungie,4.14,2017,FALSE
354,Half-Life,half-life,Shooter,M,pc,sierra entertainment,Valve Software,4.12,1998,FALSE
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,playstation,warner bros. interactive,Rocksteady Studios,4.11,2015,TRUE
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,playstation,ea sports,Team Fusion,4.11,2006,FALSE
358,The Sims 4,the-sims-4,Simulation,T,pc,electronic arts,Maxis,4.1,2014,TRUE
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,xbox,bethesda softworks,Obsidian Entertainment,4.08,2010,FALSE
362,Assassin's Creed Origins,assassins-creed-origins,Action,M,playstation,ubisoft,Ubisoft Montreal,4.06,2017,TRUE
363,Far Cry 4,far-cry-4,Shooter,M,playstation,ubisoft,Ubisoft Montreal,4.06,2014,TRUE
364,Carnival Games,carnival-games,Misc,E,nintendo,global star software,Cat Daddy Games,4.06,2007,FALSE
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,playstation,konami,Konami Computer Entertainment Tokyo,4.06,2006,TRUE
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,xbox,microsoft game studios,Turn 10 Studios,4.05,2007,FALSE
367,Namco Museum Vol.3,namco-museum-vol3,Misc,E,playstation,namco,Namco,4.05,1997,FALSE
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,playstation,namco,Namco,4.05,2000,FALSE
377,Fallout 3,fallout-3,Role-Playing,M,playstation,bethesda softworks,Bethesda Game Studios,4,2008,FALSE
379,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,pc,bethesda softworks,Bethesda Game Studios,3.99,2011,FALSE
380,Namco Museum: 50th Anniversary,namco-museum-50th-anniversary,Misc,E10,playstation,namco,Digital Eclipse,3.98,2005,FALSE
381,NBA 2K16,nba-2k16,Sports,E10,playstation,2k sports,Visual Concepts,3.98,2015,FALSE
382,Left 4 Dead 2,left-4-dead-2,Shooter,M,xbox,electronic arts,Certain Affinity / Valve Software,3.97,2009,TRUE
383,Far Cry 5,far-cry-5,Action,M,playstation,ubisoft,Ubisoft,3.95,2018,TRUE
384,Battlefield 4,battlefield-4,Shooter,M,playstation,electronic arts,EA DICE,3.94,2013,TRUE
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,playstation,ubisoft,Ubisoft Montreal,3.94,2013,TRUE
386,EA Sports Active,ea-sports-active,Sports,E,nintendo,ea sports,EA Vancouver,3.93,2009,FALSE
391,Tony Hawk's Underground,tony-hawks-underground,Sports,T,playstation,activision,Neversoft Entertainment,3.9,2003,FALSE
392,Just Dance 2014,just-dance-2014,Music,E10,nintendo,ubisoft,Ubisoft Paris,3.89,2013,TRUE
394,Sports Champions,sports-champions,Sports,E10,playstation,sony computer entertainment,SCE San Diego Studio,3.88,2010,FALSE
395,MotorStorm,motorstorm,Racing,T,playstation,sony computer entertainment,Evolution Studios,3.87,2007,FALSE
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,E,playstation,konami,Konami Computer Entertainment Tokyo,3.85,2005,TRUE
397,Namco Museum Vol.1,namco-museum-vol1,Misc,E,playstation,namco,Namco,3.84,1996,FALSE
401,Gran Turismo Sport,gran-turismo-sport,Racing,E,playstation,sony interactive entertainment,Polyphony Digital,3.77,2017,FALSE
402,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,xbox,lucasarts,Traveller's Tales,3.76,2008,FALSE
403,The Sims: Unleashed,the-sims-unleashed,Simulation,T,pc,electronic arts,Maxis,3.76,2002,TRUE
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,E10,playstation,sony computer entertainment,High Impact Games,3.75,2007,FALSE
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,E,playstation,electronic arts,Argonaut Games,3.73,2001,TRUE
408,FIFA 17,fifa-17,Sports,E,xbox,electronic arts,EA Canada,3.71,2016,TRUE
409,Spyro: Year of the Dragon,spyro-year-of-the-dragon,Platform,E,playstation,sony computer entertainment,Insomniac Games,3.71,2000,FALSE
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,playstation,ea sports,EA Canada,3.7,2004,FALSE
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,T,playstation,activision,Neversoft Entertainment,3.67,2002,FALSE
415,Midnight Club 3: DUB Edition,midnight-club-3-dub-edition,Racing,E10,playstation,rockstar games,Rockstar Leeds,3.66,2005,FALSE
416,MySims,mysims,Simulation,E,other,electronic arts,EA Redwood Shores,3.66,2007,TRUE
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,M,playstation,sony computer entertainment,Zipper Interactive,3.65,2002,FALSE
419,Battlefield 4,battlefield-4,Shooter,M,playstation,electronic arts,EA DICE,3.64,2013,TRUE
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,E,playstation,sony computer entertainment,Naughty Dog,3.64,2001,FALSE
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,playstation,konami,Konami,3.63,2008,TRUE
423,FIFA Soccer 10,fifa-soccer-10,Sports,E,playstation,ea sports,EA Canada,3.63,2009,FALSE
424,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,nintendo,activision,Vicarious Visions,3.62,2008,FALSE
425,Gears of War: Ultimate Edition,gears-of-war-ultimate-edition,Shooter,M,xbox,microsoft studios,The Coalition,3.62,2015,FALSE
426,Star Wars Battlefront,star-wars-battlefront,Shooter,T,playstation,lucasarts,Pandemic Studios,3.61,2004,FALSE
427,Doom II,doom-ii,Shooter,M,pc,gt interactive,id Software,3.61,1994,FALSE
428,The Simpsons: Road Rage,the-simpsons-road-rage,Racing,T,playstation,electronic arts,Radical Entertainment,3.61,2001,TRUE
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,M,playstation,ubisoft,Ubisoft Quebec,3.6,2015,TRUE
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,playstation,lucasarts,Pandemic Studios,3.59,2005,FALSE
