rank,name,basename,genre,esrb_rating,platform,publisher,developer,pal_sales,year
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E,other,LucasArts,Traveller's Tales,1.49,2007
280,Batman: Arkham City,batman-arkham-city,Action,T,xbox,Warner Bros. Interactive,Rocksteady Studios,1.28,2011
281,Driver 2,driver-2,Action,T,other,Atari,Reflections Interactive,2.1,2000
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,other,VU Games,Radical Entertainment,2.19,2003
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,other,Activision,Neversoft Entertainment,1.41,2000
285,Monster Hunter: World,monster-hunter-world,Action,T,other,Capcom,Capcom,1.06,2018
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,other,Electronic Arts,Stormfront Studios,1.95,2002
288,Tomb Raider,tomb-raider,Action,T,other,Eidos Interactive,Core Design Ltd.,1.97,1996
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,xbox,Microsoft Studios,Turn 10 Studio,1.98,2011
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,nintendo,RedOctane,Vicarious Visions,1.12,2007
293,"Pokemon: Let's Go, Pikachu!","pikachu""",Role-Playing,E,nintendo,Nintendo,Game Freak,1.24,2018
296,FIFA 15,fifa-15,Sports,E,other,EA Sports,EA Canada,3.25,2014
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,nintendo,Sega,Sega,1.97,2009
298,Overwatch,overwatch,Shooter,T,other,Blizzard Entertainment,Blizzard Entertainment,1.8,2016
299,Madden NFL 2005,madden-nfl-2005,Sports,E,other,EA Sports,EA Tiburon,0.26,2004
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,xbox,RedOctane,Neversoft,0.91,2007
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,other,Electronic Arts,EA DICE,1.99,2017
308,Pitfall!,pitfall,Platform,unrated,other,Activision,Activision,0.24,1982
310,Madden NFL 07,madden-nfl-07,Sports,E,other,EA Sports,EA Tiburon,0.24,2006
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,other,Activision,Treyarch,1.51,2002
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,xbox,Take-Two Interactive,Bethesda Softworks,1.03,2009
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,other,Activision,Neversoft Entertainment,1.29,2001
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,2.39,2007
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,nintendo,Ubisoft,Ubisoft Montpellier,1.33,2010
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,other,Ubisoft,Massive Entertainment,2.04,2016
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,other,Electronic Arts,EA Canada,1.79,2005
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,M,other,Sony Computer Entertainment,Insomniac Games,1.72,2006
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,unrated,other,Ubisoft,Ubisoft Montreal,2.06,2015
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,Activision,High Moon Studios,1.13,2014
324,Watch Dogs,watch-dogs,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,2.13,2014
327,Asteroids,asteroids,Shooter,unrated,other,Atari,Atari,0.26,1981
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,other,Eidos Interactive,Rocksteady Studios,1.33,2009
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,High Moon Studios,1.81,2014
333,Namco Museum,namco-museum,Misc,E,nintendo,Namco,Mass Media,1.11,2001
334,Daxter,daxter,Platform,E10,other,Sony Computer Entertainment,Ready at Dawn,1.02,2006
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,other,Ubisoft,Ubisoft Montreal,2.03,2011
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,M,other,Konami,KCEJ / Kojima Productions,0,2004
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,xbox,Ubisoft,Ubisoft Montreal,1.47,2011
339,FIFA Soccer 06,fifa-soccer-06,Sports,E,other,EA Sports,EA Canada,2.55,2005
341,Street Fighter IV,street-fighter-iv,Fighting,T,other,Capcom,Capcom / Dimps Corporation,1.05,2009
343,FIFA Soccer 12,fifa-soccer-12,Sports,E,xbox,EA Sports,EA Canada,2.79,2011
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,1.64,2013
345,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,Platform,unrated,nintendo,Ultra Games,Konami,0.44,1989
348,Frogger,frogger,Action,E,other,Hasbro Interactive,Millenium Interactive,0.27,1997
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,xbox,Electronic Arts,EA DICE,1.26,2015
350,FIFA 14,fifa-14,Sports,E,xbox,EA Sports,EA Canada,2.92,2013
351,Madden NFL 2003,madden-nfl-2003,Sports,E,other,EA Sports,EA Tiburon,0.21,2002
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,other,Ubisoft,Ubisoft Montreal,2.16,2014
353,Destiny 2,destiny-2,Shooter,T,other,Activision,Bungie,1.44,2017
354,Half-Life,half-life,Shooter,M,pc,Sierra Entertainment,Valve Software,0,1998
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,other,Warner Bros. Interactive,Rocksteady Studios,1.68,2015
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,other,EA Sports,Team Fusion,2.48,2006
358,The Sims 4,the-sims-4,Simulation,T,pc,Electronic Arts,Maxis,2.6,2014
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,xbox,Bethesda Softworks,Obsidian Entertainment,1.03,2010
362,Assassin's Creed Origins,assassins-creed-origins,Action,M,other,Ubisoft,Ubisoft Montreal,2.11,2017
363,Far Cry 4,far-cry-4,Shooter,M,other,Ubisoft,Ubisoft Montreal,2.14,2014
364,Carnival Games,carnival-games,Misc,E,nintendo,Global Star Software,Cat Daddy Games,1.47,2007
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,2.26,2006
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,1.27,2007
367,Namco Museum Vol.3,namco-museum-vol3,Misc,E,other,Namco,Namco,1.55,1997
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,other,Namco,Namco,1.51,2000
