rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,8.72,2014,japan,0.01
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,8.72,2014,other,0.76
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,8.48,2016,north america,3.11
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,8.48,2016,europe,3.83
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,8.48,2016,japan,0.19
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,8.48,2016,other,1.36
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.48,2015,north america,2.91
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.48,2015,europe,3.97
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.48,2015,japan,0.27
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,8.48,2015,other,1.34
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,8.22,2015,north america,1.15
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,8.22,2015,europe,5.77
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,8.22,2015,japan,0.07
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,8.22,2015,other,1.23
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,8.03,2015,north america,3.31
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,8.03,2015,europe,3.19
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,8.03,2015,japan,0.23
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,8.03,2015,other,1.3
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,8.01,2012,north america,1.07
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,8.01,2012,europe,5.13
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,8.01,2012,japan,0.13
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,8.01,2012,other,1.68
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,7.72,2005,north america,2.9
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,7.72,2005,europe,2.83
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,7.72,2005,japan,0.24
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,7.72,2005,other,1.74
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.58,1997,north america,3.78
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.58,1997,europe,2.17
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.58,1997,japan,1.31
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,7.58,1997,other,0.31
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,7.53,2014,north america,2.84
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,7.53,2014,europe,3.34
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,7.53,2014,japan,0.14
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,7.53,2014,other,1.22
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,7.37,2015,north america,4.63
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,7.37,2015,europe,2.04
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,7.37,2015,japan,0.02
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,7.37,2015,other,0.68
136,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.35,2011,north america,4.47
136,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.35,2011,europe,2.12
136,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.35,2011,japan,0.06
136,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.35,2011,other,0.69
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,7.26,2016,north america,2.2
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,7.26,2016,europe,3.65
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,7.26,2016,japan,0.29
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,7.26,2016,other,1.12
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.21,2011,north america,2.86
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.21,2011,europe,2.94
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,7.21,2011,japan,0.35
